state,anyotherweapon,destructivedevice,machinegun,silencer,shortbarreledrifle,shortbarreledshotgun,total
Alabama,1218,79282,26687,47574,6289,2348,163398
Alaska,328,5032,1650,7107,2131,1324,17572
Arkansas,637,50465,5469,22554,3742,1178,84045
Arizona,1312,103787,17192,45023,15969,2493,185776
California,3980,282787,29800,16128,11723,13805,358223
Colorado,1023,48481,7385,33538,7904,1831,100162
Connecticut,948,13508,37311,11919,3588,1023,68297
Delaware,33,3088,588,333,297,645,4984
Florida,3645,190060,44484,98972,31162,8884,377207
Georgia,2022,73632,29318,72734,14194,11496,203396
Hawaii,34,7231,431,199,61,62,8018
Iowa,886,16532,3588,8720,830,1031,31587
Idaho,645,21422,4196,22359,3406,499,52527
Illinois,989,105360,31058,2288,3023,1710,144428
Indiana,1683,44036,19496,38097,7378,9080,119770
Kansas,720,23594,3700,24083,3828,1103,57028
Kentucky,1125,32743,16404,29160,4458,1873,85763
Louisiana,606,54707,6942,46978,6299,1824,117356
Massachusetts,850,17024,6776,10912,3480,988,40030
Maryland,1044,54104,32453,18325,5654,3883,115463
Maine,605,3557,5393,3933,3146,487,17121
Michigan,1195,26527,15557,21874,5090,1435,71678
Minnesota,2703,48484,8403,21615,4674,1140,87019
Missouri,1425,33379,9784,24515,6865,2692,78660
Mississippi,442,10527,4528,19689,3235,910,39331
Montana,457,3973,2327,11337,1723,509,20326
North Carolina,975,93448,15513,41178,10848,3208,165170
North Dakota,203,2972,1605,9225,1143,292,15440
Nebraska,769,7015,2267,11878,2321,842,25092
New Hampshire,450,4905,16011,32093,5143,538,59140
New Jersey,429,44439,8404,1629,2144,2584,59629
New Mexico,318,82408,4025,10561,3122,748,101182
Nevada,904,38612,15073,20999,8628,2932,87148
New York,1714,46103,12779,3554,6466,7525,78141
Ohio,2107,84047,21869,49099,10086,6107,173315
Oklahoma,1206,17294,9466,39060,5780,1809,74615
Oregon,1585,23479,6579,27108,6046,1549,66346
Pennsylvania,2233,168961,18910,45702,12694,13265,261765
Rhode Island,41,3467,628,58,232,109,4535
South Carolina,719,36783,10042,42990,6517,4065,101116
South Dakota,368,4107,1915,15341,903,213,22847
Tennessee,1700,45077,14144,32111,8491,6111,107634
Texas,7192,267963,37701,265597,50518,8641,637612
Utah,483,17267,7169,51760,5865,1418,83962
Virginia,2958,212240,35211,50100,18996,8505,328010
Vermont,227,2802,1365,1558,519,152,6623
Washington,1936,48272,4391,36798,9128,1009,101534
Wisconsin,776,32573,8060,25148,5389,1304,73250
West Virginia,466,19265,7006,7986,2029,1087,37839
Wyoming,317,116571,1804,7769,1223,399,128083
