state,code,injured,killed,incidents,death_rate,n_registered,registration_rate,background_checks,background_rate,trump
Alabama,AL,2998,1880,5471,38.462553533020824,163398,3342.9278309513493,474294,9703.48849222903,62.1
Alaska,AK,325,267,1349,36.20643362560649,17572,2382.844388273997,78761,10680.355501072632,51.3
Arizona,AZ,1096,1094,2328,15.254517582156174,185776,2590.423453695288,377838,5268.497636386403,48.1
Arkansas,AR,1347,773,2842,25.648469967566133,84045,2788.6489759690758,248439,8243.312070209784,60.6
California,CA,7644,5562,16306,14.060706506262033,358223,905.5858444431327,1297132,3279.1428176700256,31.5
Colorado,CO,1133,796,3201,13.975788877098035,100162,1758.5966903365495,524770,9213.661719892885,43.3
Connecticut,CT,1258,341,3067,9.54469562637415,68297,1911.654185321042,177690,4973.59814032382,40.9
Delaware,DE,853,217,1685,22.436570161843147,4984,515.317353394591,47723,4934.287731952261,41.7
Florida,FL,7072,3909,15029,18.352694275522815,377207,1770.981005266599,1203145,5648.747084708083,48.6
Georgia,GA,4056,2456,8925,23.347172743886933,203396,1933.5185453646689,549532,5223.948913800356,50.4
Hawaii,HI,85,63,289,4.435086177948329,8018,564.4527138855509,14088,991.7697472212072,30.0
Idaho,ID,149,166,661,9.462959922654555,52527,2994.342746128167,207320,11818.438862438206,59.2
Illinois,IL,13514,3409,17556,26.755973590935778,144428,1133.561676090253,2831447,22222.97481846123,38.4
Indiana,IN,2956,1608,5852,24.029129042699225,119770,1789.7815829876158,896148,13391.577072983098,56.5
Iowa,IA,821,273,2517,8.64979270597517,31587,1000.8095318814567,189159,5993.355818569806,51.1
Kansas,KS,931,542,2145,18.61580179323065,57028,1958.7120750264899,172047,5909.211902435339,56.2
Kentucky,KY,1894,1066,4157,23.856403251095134,85763,1919.3214934556022,4912441,109937.31092233867,62.5
Louisiana,LA,4398,2179,8103,46.759877407146554,117356,2518.3809880647505,307192,6592.134125955102,58.1
Maine,ME,132,112,907,8.368175827328669,17121,1279.210163747269,93360,6975.472278923255,44.9
Maryland,MD,3167,1691,5798,27.9840958985675,115463,1910.7792221976931,151470,2506.6534628953395,33.9
Massachusetts,MA,1701,472,5981,6.8384498798852364,40030,579.9642980758601,211295,3061.292939343964,32.8
Michigan,MI,2990,1588,6136,15.88648963101427,71678,717.0729242895724,489957,4901.572292281397,47.3
Minnesota,MN,916,461,2408,8.215742181812415,87019,1550.8149000415065,604078,10765.616281355487,44.9
Mississippi,MS,1883,1176,3599,39.37680184026278,39331,1316.9464227715778,247278,8279.776195116072,57.9
Missouri,MO,3585,2136,6631,34.865204199755425,78660,1283.9405254460494,469184,7658.331445345527,56.4
Montana,MT,136,154,638,14.49677823224027,20326,1913.3864568085437,117607,11070.925958175854,55.6
Nebraska,NE,674,225,1651,11.662454360928601,25092,1300.5969103307575,74477,3860.376059728353,58.7
Nevada,NV,951,799,1952,26.331469368492932,87148,2872.0086264398274,127434,4199.655153322313,45.5
New Hampshire,NH,144,88,964,6.4874843157694535,59140,4359.884345847789,120889,8912.107857375606,46.5
New Jersey,NJ,2540,1168,5387,13.11104425875454,59629,669.347994953146,93124,1045.336374616659,41.0
New Mexico,NM,543,495,1645,23.622858909969707,101182,4828.703252986979,156853,7485.487451728239,40.0
New York,NY,5059,1705,9712,8.724704561290896,78141,399.85755960342044,358614,1835.0740185001605,36.5
North Carolina,NC,4629,2225,8739,21.427979837474794,165170,1590.6783953958254,529916,5103.383983620356,49.8
North Dakota,ND,130,69,573,9.078027620885779,15440,2031.3731371953106,62334,8201.011213337595,63.0
Ohio,OH,5703,2508,10244,21.45525851447828,173315,1482.6627310354077,717475,6137.80366932827,51.3
Oklahoma,OK,1550,941,3455,23.864599212950083,74615,1892.3029439684065,332291,8427.196107407435,65.3
Oregon,OR,694,446,2286,10.642580391451288,66346,1583.1673512359355,359682,8582.83542681162,39.1
Pennsylvania,PA,5056,2395,8929,18.700622937660945,261765,2043.9117174433477,1021943,7979.5284788233985,48.2
Rhode Island,RI,346,63,895,5.95848919196266,4535,428.91664262778835,25030,2367.3172138861173,38.9
South Carolina,SC,3084,1610,6939,31.66718691330881,101116,1988.8566906373503,280749,5522.068980574246,54.9
South Dakota,SD,114,90,544,10.201363582265495,22847,2589.67281960022,90693,10279.91408184894,61.5
Tennessee,TN,4478,1824,7626,26.94235311321549,107634,1589.864712164384,694101,10252.584560436395,60.7
Texas,TX,6106,5046,13577,17.580751341943348,637612,2221.501788473877,1571632,5475.717675989122,52.2
Utah,UT,402,282,1072,8.920931130095331,83962,2656.0965232094472,295858,9359.322135772143,45.1
Vermont,VT,73,57,472,9.101084306377624,6623,1057.4821291427895,41550,6634.211454912111,30.3
Virginia,VA,3566,1459,5949,17.129067346350563,328010,3850.928978942048,476760,5597.295509284506,44.4
Washington,WA,1287,853,3434,11.319616470692212,101534,1347.3926597130867,627301,8324.509650271624,36.8
West Virginia,WV,649,335,1575,18.551005852150144,37839,2095.377643103013,241678,13383.194006972963,67.9
Wisconsin,WI,2117,862,4787,14.827383114810043,73250,1259.9835419487654,452520,7783.860101060141,47.2
Wyoming,WY,52,73,494,12.63550715983224,128083,22169.77621305196,60150,10411.311721423417,68.2
