state,code,2013,2014,2015,2016,2017,2018,2013rt,2014rt,2015rt,2016rt,2017rt,2018rt
Alabama,AL,3,325,385,488,544,135,0.020458805070755755,5.933053470519169,7.058287749410734,9.288297502123113,10.208943730307121,2.639185854127492
Alaska,AK,0,29,70,88,69,11,0.0,4.20374322993933,7.865067978596167,11.255183486611756,8.949904941161154,1.6272554438474827
Arizona,AZ,8,220,215,277,289,85,0.04183140104796026,2.7469286688160572,2.6074906653228562,3.4998938876793413,3.6672194918711822,0.976066024452406
Arkansas,AR,0,169,155,190,216,43,0.0,4.744801041865403,4.5788989075344455,5.906115982182111,6.669265800104519,1.360397501513857
California,CA,46,1320,1204,1265,1423,304,0.06319986743195807,3.028537647339431,2.694842347298692,2.945113822329246,3.251001180699923,0.6825585682651473
Colorado,CO,4,149,176,207,199,61,0.017557523714947284,2.071787798363779,2.809203794391565,3.4763896955595617,3.2832569346951415,0.9656638043221005
Connecticut,CT,2,75,90,68,89,17,0.0559806195095258,1.7913798243048256,2.295205399890558,2.0153023023429286,2.6310891169477126,0.5318158853404951
Delaware,DE,3,50,58,42,56,8,0.10339433254305598,4.962927962066687,5.583293957325023,4.4459562993514075,5.583293957325023,0.7237603278013919
Florida,FL,22,873,796,1001,950,267,0.0375598757237612,3.291184110294575,3.338133954949277,4.09872143835544,4.169146205337493,1.0516765202653136
Georgia,GA,5,522,595,548,658,128,0.019012355654631056,4.33481708925588,4.943212470204074,4.914693936722127,5.884324075108311,1.1692598727598098
Hawaii,HI,0,8,12,34,8,1,0.0,0.563185546406137,0.7743801263084384,2.041547605722247,0.6335837397069041,0.07039819330076713
Idaho,ID,0,31,40,34,47,14,0.0,1.4821503493314363,2.052208175997373,1.8241850453309982,2.4512486546635293,0.7410751746657182
Illinois,IL,14,637,688,946,959,165,0.0627890257340822,4.614993391455042,5.054516571593617,7.338467382670857,7.079462651517768,1.2636291428984043
Indiana,IN,9,330,346,420,407,96,0.05977395284253538,4.094515769713674,4.722142274560295,6.052112725306708,5.708412496462129,1.2851399861145107
Iowa,IA,0,62,60,70,71,10,0.0,1.6475795630428895,1.7426322301415176,2.439685122198125,2.5664220116629624,0.38021066839451295
Kansas,KS,6,94,127,125,152,38,0.10303949332046484,2.7477198218790626,3.915500746177664,4.155926230592082,4.911549181608824,1.236473919845578
Kentucky,KY,4,194,230,288,273,77,0.06713809545336341,3.6030777893305035,4.543011125677591,6.064807955953828,5.572461922629164,1.3651412742183895
Louisiana,LA,8,465,501,527,549,129,0.08583731511178809,8.92708077162596,9.485023319852582,10.643827073861722,10.751123717751458,2.6609567684654305
Maine,ME,0,22,31,18,33,8,0.0,1.1207378340172325,1.5690329676241257,1.7931805344275717,2.241475668034465,0.5977268448091907
Maryland,MD,5,294,404,429,480,79,0.06619537764297456,4.170308791507398,6.13962127638589,6.569891231065226,7.513175362477614,1.208065641984286
Massachusetts,MA,0,101,109,112,128,22,0.0,1.3618946794686697,1.4922888509071595,1.7385889525131957,1.811030158867912,0.3042530666898092
Michigan,MI,9,348,355,385,369,122,0.060024520016426705,3.0812586941765714,3.231319994217638,3.6915079810102425,3.4914262476221536,0.9303800602546141
Minnesota,MN,3,86,123,108,115,26,0.03564313310981525,1.1940449591788107,1.853442921710393,1.7465135223809471,2.0494801538143768,0.4455391638726906
Mississippi,MS,2,231,223,290,324,106,0.033483675034237055,6.5962839817447,6.696735006847411,9.10755960931248,10.246004560476539,3.4488185285264166
Missouri,MO,9,383,492,515,609,128,0.13058128913766076,5.582350110634997,7.084034935718095,7.900167992828476,9.352884834484952,1.7791700645006276
Montana,MT,0,32,34,42,41,5,0.0,2.5416429368213462,2.5416429368213462,2.8240477075792736,3.2005874019231766,0.4706746179298789
Nebraska,NE,0,51,59,57,47,11,0.0,2.3843240026787362,2.539823394157784,3.0063215685949283,2.7989890466228644,0.6738306964092081
Nevada,NV,0,150,183,205,200,61,0.0,4.54786329518401,5.206973917674447,6.1956398514101005,5.866084540164883,1.7466431495996562
New Hampshire,NH,0,22,22,20,23,1,0.0,1.400706840904768,1.400706840904768,1.9167567296591563,2.0641995550175527,0.22116423803759497
New Jersey,NJ,12,278,249,297,275,57,0.10102688213081411,2.7838518631602107,2.6154737262755203,3.288986273814281,2.963455209170547,0.6061612927848846
New Mexico,NM,5,90,116,122,125,37,0.04772294729286809,3.7223898888437112,4.772294729286809,4.820017676579678,5.344970096801227,1.670303155250383
New York,NY,15,397,463,416,347,67,0.0358199014246547,1.7705265561329326,2.1798968581289864,2.0877885401798744,1.7551751698080806,0.30191059772208967
North Carolina,NC,5,487,493,576,556,108,0.02889165820783118,4.102615465512027,4.285595967494959,5.2775428992971625,5.027148528162625,1.020838590010035
North Dakota,ND,0,15,18,18,15,3,0.0,1.710353030021958,1.5787874123279615,2.3681811184919423,2.631312353879936,0.3946968530819904
Ohio,OH,10,494,537,628,700,139,0.04277364137655159,3.7640804411365405,4.1661526700761256,5.064399138983709,5.560573378951707,1.103559947515031
Oklahoma,OK,14,171,220,243,249,44,0.12680445915488886,3.8041337746466657,5.122900149857509,5.604757094646088,5.833005121124888,1.0144356732391109
Oregon,OR,0,96,125,95,99,31,0.0,1.9328453177299423,2.4578156509405438,2.1237436207156155,2.2430550600816614,0.6920063483230657
Pennsylvania,PA,13,547,508,556,635,136,0.07808193293386617,3.662042654598323,3.583960721664457,4.122726058908134,4.575601269924557,0.9291750019130074
Rhode Island,RI,1,18,14,14,11,5,0.09457919352321684,1.607846289894686,1.134950322278602,1.4186879028482524,1.134950322278602,0.4728959676160841
South Carolina,SC,11,344,384,387,395,89,0.09834530097300874,5.782703697212914,6.825163887526806,7.434904753559461,7.434904753559461,1.632531996151945
South Dakota,SD,0,16,25,23,19,7,0.0,1.133484842473944,2.153621200700494,3.060409074679649,2.153621200700494,0.9067878739791553
Tennessee,TN,14,352,395,470,495,98,0.10339718848273488,4.579018347092545,5.140317370284534,7.001466762973762,7.134406005308707,1.3146213964233435
Texas,TX,24,1094,1136,1313,1169,310,0.027872772638832106,3.0799413765909476,3.456223807215181,4.104265771068027,3.6339127327877354,0.9825152355188317
Utah,UT,4,62,66,70,70,10,0.03163450755352954,1.6133598852300064,1.6766289003370658,2.0562429909794204,1.9613394683188317,0.37961409064235446
Vermont,VT,0,18,13,13,9,4,0.0,2.3950221858888483,1.5966814572592323,2.3950221858888483,1.7563496029851557,0.638672582903693
Virginia,VA,3,284,317,398,385,72,0.03522083758673865,2.817667006939092,3.3459795707401714,4.332163023168854,4.261721347995377,0.8922612188640457
Washington,WA,8,181,197,183,230,54,0.02654071857137682,2.0701760485673915,2.2028796414242757,2.2559610785670294,2.8531272464230075,0.650247604998732
West Virginia,WV,4,70,58,99,81,23,0.05537613687208998,3.045687527964949,2.990311391092859,5.371485276592728,4.540843223511379,1.2182750111859795
Wisconsin,WI,0,163,222,222,209,46,0.0,2.528567654149741,3.423026960379581,3.595038365423781,3.423026960379581,0.8256547442121603
Wyoming,WY,0,15,21,18,9,10,0.0,2.0770696701094096,3.115604505164115,2.596337087636762,1.7308913917578412,1.7308913917578412
